,EBITDA (Period 1),Retained Earnings (Period 1),Total Assets (Period 1),Total Current Liabilities (Period 1),Total Non Current Liabilities (Incl Provisions) (Period 1),Total Sales / Turnover (Period 1),Working Capital (Period 1),Loan ID,Company Name,PD1,PD2,PD3,PD4,PDwithin1,PDwithin2,PDwithin3,PDwithin4
40,1617567,-618683,4528742,2116303,3031119,5241367,-237744,88,RUSH TRAMPOLINE PARKS LIMITED,12.77797586,10.83588854,13.81607504,13.32340839,12.77797586,22.22925719,32.97412137,41.90425291
41,422453,213917,1529072,1288655,0,5480151,94403,89,INFINITE GROUP LIMITED,0.427725659,0.541937246,0.570452652,0.564222711,0.427725659,0.9673449,1.532279307,2.08785655
42,2291000,4211000,6300000,2200000,0,17600000,4300000,90,SIG ROOFSPACE LIMITED,0.188537488,0.277998887,0.282148504,0.215508276,0.188537488,0.466012243,0.7468459,0.960744661
43,336618,446033,636430,180397,0,2136216,414125,91,MCPARLAND FINN LIMITED,0.190090876,0.241858074,0.342761058,0.286853284,0.190090876,0.4314892,0.772771281,1.057407846
44,881564,159953,4361452,1651100,2350000,5459764,335635,92,D.W. PLASTICS LIMITED,6.84053243,3.840594255,4.903563152,6.485714256,6.84053243,10.41840959,14.81109945,20.33620812
45,421000,-694939,2471343,1303659,1862621,12672778,-694938,94,CLIFTON TRADE BATHROOMS LIMITED,4.411312178,2.129185021,2.83511862,2.516299095,4.411312178,6.446572201,9.098922853,11.38626583
46,910000,2848067,9681311,6831994,0,26128000,2541455,97,ONLINE HOME RETAIL LIMITED,0.23768981,0.294850813,0.329118744,0.246811487,0.23768981,0.531839793,0.859208152,1.103899015
47,688735,29326,1415404,536078,0,3886554,504764,101,TF GLOBAL MARKETS (UK) LIMITED,0.376064094,0.390588261,0.533166344,0.531304868,0.376064094,0.765183492,1.294270135,1.818698483
48,1036000,3327000,4529000,1162000,0,14159000,1331000,102,MATTRESSONLINE.CO.UK LTD,0.193096106,0.224384677,0.268598304,0.212624691,0.193096106,0.417047506,0.684525628,0.895694848
49,264763,216416,0,608235,61709,2786561,744919,103,ETZ TECHNOLOGIES LIMITED,9.105411936,12.26282046,12.13715604,12.82587658,9.105411936,20.25165208,29.9308335,38.91781832
50,6209408,-8589704,26813631,87443,35265893,16415800,2103564,106,MONEYPLUS GROUP LIMITED,16.07635519,11.19612741,12.52607977,13.28793443,16.07635519,25.47255339,34.80792081,43.47060154
51,1323006,1300515,3871989,2085437,480089,5526505,137751,107,HERITAGE CASHMERE UK LIMITED,0.23742215,0.39804364,0.415255467,0.30212457,0.23742215,0.634520746,1.047141331,1.346102229
52,292532,196635,2349200,1831512,301053,5002622,62423,110,SPARTAN MOTOR FACTORS LTD,2.242669898,4.64223237,2.814797966,1.075243348,2.242669898,6.78079232,9.404724682,10.37884435
53,445058,764754,999229,184375,50000,6548382,798524,112,RIMBAL NETWORKS LIMITED,0.196916691,0.330058043,0.345054831,0.224088501,0.196916691,0.526324794,0.869563517,1.091703426
54,564000,2211632,4097000,1284970,243182,5115000,806000,113,MB GLASS SUPPLIES LTD.,0.185188454,0.226908477,0.267126649,0.216272839,0.185188454,0.411676723,0.677703674,0.892510824
55,513000,656072,2346224,1689981,0,6555939,178000,114,OFFICE IMAGE LIMITED,0.283604455,0.359311979,0.335587661,0.271400441,0.283604455,0.641897409,0.975330941,1.24408433
56,1427000,1622000,5238000,806000,5000,12090000,4362000,115,ROBINSON MEDICAL RECRUITMENT LIMITED,0.18927677,0.260171995,0.292818816,0.220649104,0.18927677,0.448956321,0.740460508,0.959475792
57,465,465,45,765,-700,3000000,6554,122,SEB GLAZING LTD,0.36949103,0.699864529,0.531137871,0.474522606,0.36949103,1.066769622,1.592241476,2.059208536
58,2055000,7399093,10463092,2924179,0,15707169,6857793,124,PARWELD INTERNATIONAL LIMITED,0.186783227,0.227498219,0.27168049,0.223441619,0.186783227,0.413856518,0.68441264,0.906324997
59,674864,433491,1443297,684001,325805,3118070,108135,127,MIDLAND SURVEY LIMITED,0.28184751,0.38344943,0.572834646,0.356667516,0.28184751,0.664216197,1.233245982,1.585514911
60,2141185,0,4219832,675580,4487384,6255311,1000011,131,VESSELSVALUE LIMITED,6.985916704,2.82319908,6.465363535,4.993635361,6.985916704,9.611889448,15.45580939,19.67763799
61,743972,448679,2409943,953997,7167,8725163,1416351,132,BRITISH INTERNATIONAL INDUSTRIES LIMITED,0.193130243,0.243177871,0.320041119,0.261682268,0.193130243,0.435838463,0.75448472,1.014192636
62,5285000,9001000,15426000,4945000,1480000,49946000,3780000,133,SWIFT BRICKWORK CONTRACTORS LIMITED,0.187905509,0.240148846,0.272647392,0.211473858,0.187905509,0.427603102,0.699084645,0.909080122
63,1407838,3681973,4720892,863926,175020,6074064,864331,134,FABRIWELD TUBULAR STEEL PRODUCTS LIMITED,0.195536461,0.230635997,0.278841327,0.230780176,0.195536461,0.425721481,0.703375721,0.932532645
